"You know if you would just do as I say I wouldn't have to hurt you.","Amanda Stephan ,The Price of Trust",Evil
"No evil dooms us hopelessly except the evil we love, and desire to continue in, and make no effort to escape from.","George Eliot, Daniel Deronda", Evil
"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it","Albert Einstein",Evil
"It is as inhuman to be totally good as it is to be totally evil","Anthony Burgess, A Clockwork Orange", Evil
"Nothing is easier than to denounce the evildoer; nothing is more difficult than to understand him.","Fyodor Dostoevsky", Evil
"May the forces of evil become confused on the way to your house.","George Carlin", Evil
"Man is the cruelest animal.","Friedrich Nietzsche", Evil
"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.","Mahatma Gandhi", Evil
"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.","Albert Einstein", Evil
"There were moments when he looked on evil simply as a mode through which he could realize his conception of the beautiful.","Oscar Wilde, The Picture of Dorian Gray", Evil
"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.","Albert Einstein", Evil
"The only thing necessary for the triumph of evil is for good men to do nothing.","Edmund Burke",Evil
"We all have a Monster within; the difference is in degree, not in kind.","Douglas Preston, The Monster of Florence",Evil
"Knowledge is power. Power to do evil...or power to do good. Power itself is not evil. So knowledge itself is not evil.","Veronica Roth, Allegiant",Evil
"Evil begins when you begin to treat people as things.","Terry Pratchett, I Shall Wear Midnight",Evil
"No social stability without individual stability.","Aldous Huxley, Brave New World",Society
"When the whole world is crazy, it doesn't pay to be sane.","Terry Goodkind, The Pillars of Creation", Society
"The dumbing down of the country reflects itself on Broadway. The shows get dumber, and the public gets used to them.","Stephen Sondheim",Society
"Solitude is fine but you need someone to tell that solitude is fine.","Honoré de Balzac", Society
"The fear of appearances is the first symptom of impotence.","Fyodor Dostoevsky, Crime and Punishment",Society
"Solitude is fine but you need someone to tell that solitude is fine.","Honoré de Balzac",Society
"In individuals, insanity is rare; but in groups, parties, nations and epochs, it is the rule.","Friedrich Nietzsche",Society
"The unhappiest people in this world, are those who care the most about what other people think.","C. JoyBell C.",Society
"If the misery of the poor be caused not by the laws of nature, but by our institutions, great is our sin.","Charles Darwin",Society
"The only stable state is the one in which all men are equal before the law.","Aristotle",Society
"In individuals, insanity is rare; but in groups, parties, nations and epochs, it is the rule.","Friedrich Nietzsche",Society
"It is no measure of health to be well adjusted to a profoundly sick society.","J. Krishnamurti",Society
"Yeah, I love being famous. It's almost like being white, y'know?","Chris Rock",Society
"It is presumptuous to draw conclusions about a person from what one has heard.","Jude Morgan, Indiscretion",Society
"Civilized men are more discourteous than savages because they know they can be impolite without having their skulls split, as a general thing.","Robert E. Howard",Society
"What difference does it make to the dead, the orphans and the homeless, whether the mad destruction is wrought under the name of totalitarianism or in the holy name of liberty or democracy?","Mahatma Gandhi", Society
"When the whole world is crazy, it doesn't pay to be sane.","Terry Goodkind, The Pillars of Creation",Society
"When we change the way we communicate, we change society","Clay Shirky, Here Comes Everybody: The Power of Organizing Without Organizations",Society
"Almost all people have this potential for evil, which would be unleashed only under certain dangerous social circumstances.","Iris Chang, The Rape of Nanking",Society
"A revolution is not a bed of roses. A revolution is a struggle between the future and the past.","Fidel Castro",Society
"Gossip, as usual, was one-third right and two-thirds wrong.","L.M. Montgomery, Chronicles of Avonlea",Truth
"The truth is rarely pure and never simple.","Oscar Wilde, The Importance of Being Earnest",Truth
"Truth is a matter of the imagination.","Ursula K. Le Guin, The Left Hand of Darkness",Truth
"A lie can travel half way around the world while the truth is putting on its shoes.","Mark Twain",Truth
"Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.","Winston S. Churchill",Truth
"If you tell the truth, you don't have to remember anything.","Mark Twain",Truth
"The reason I talk to myself is because I’m the only one whose answers I accept.","George Carlin",Truth
"The truth is rarely pure and never simple.","George R.R. Martin, A Clash of Kings",Truth
"There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.","Soren Kierkegaard",Truth
"Without deviation from the norm, progress is not possible.","Frank Zappa",Progress
"I believe that we are all born for greatness yet most of us mire in the mediocrity of life. We become complacent or worse, discouraged and stagnate. We damn ourselves by not progressing.","Toni Sorenson",Progress
"Any technology distinguishable from magic is insufficiently advanced.","Barry Gehm",Progress
"Never restart a journey and use the same road that failed you before.","Dennis E. Adonis",Progress
"Never confuse movement with action.","Ernest Hemingway",Progress
"Without deviation from the norm, progress is not possible.","Frank Zappa",Progress
"I don't know where I'm going, but I'm on my way.","Carl Sandburg",Progress
"Never confuse movement with action.","Ernest Hemingway",Progress
"I am a slow walker, but I never walk back.","Abraham Lincoln",Progress
"Progress is not an illusion; it happens, but it is slow and invariably disappointing.","George Orwell",Progress
"Being good is easy, what is difficult is being just.","Victor Hugo",Justice
"I don't want tea, I want justice!","Ally Carter, Uncommon Criminals",Justice
"It is better to risk saving a guilty person than to condemn an innocent one.","Voltaire, Zadig et autres contes",Justice
"Right is right even if no one is doing it; wrong is wrong even if everyone is doing it.","Saint Augustine",Justice
"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.","Elie Wiesel",Justice
"To be wealthy and honored in an unjust society is a disgrace.","Confucius, The Analects",Justice
"I should like to be able to love my country and still love justice.","Albert Camus",Justice
"The rape of justice anywhere, violates justice everywhere. ","Colin Tegerdine",Justice
"An unjust law, is no law at all.","Martin Luther",Justice
"Never pray for justice, because you might get some.","Margaret Atwood, Cat's Eye",Justice
"Truth never damages a cause that is just.","Mahatma Gandhi",Justice
"Justice will not be served until those who are unaffected are as outraged as those who are.","Benjamin Franklin",Justice
"Right is right, even if everyone is against it, and wrong is wrong, even if everyone is for it.","William Penn",Justice
"A good act does not wash out the bad, nor a bad act the good. Each should have its own reward.","George R.R. Martin, A Clash of Kings",Justice
"But men often mistake killing and revenge for justice. They seldom have the stomach for justice.","Robert Jordan",Justice
"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.","Elie Wiesel",Justice
"Ladies who play with fire must remember that smoke gets in their eyes.","Mae West",Justice
"If you tremble with indignation at every injustice then you are a comrade of mine.","Ernesto Che Guevara",Justice
"Each of us is more than the worst thing we’ve ever done.","Bryan Stevenson, Just Mercy: A Story of Justice and Redemption",Justice
"Right is right, even if everyone is against it, and wrong is wrong, even if everyone is for it.","William Penn",Justice
"I don’t think there’s anything wrong with telling the truth. I know it isn’t fashionable.","Craig Ferguson",Mortality
"Never do anything that you can't admit doing, because if you are that ashamed of whatever it is, it's probably wrong.","Ashly Lorenzana",Mortality
"Ethics and I had crossed paths recently, and I’m not sure that I fell on the right side of the morality line.","S.C. Stephens, Effortless",Mortality
"Each man must grant himself the emotions that he needs and the morality that suits him. ","Remy De Gourmont",Mortality
"You ask 'Are you a man or a demon?' Neither, I say. I have woken up, and the rest of you are sleeping, and that is the only difference between us.","Aravind Adiga, The White Tiger",Mortality
"There is perhaps no phenomenon which contains so much destructive feeling as 'moral indignation,' which permits envy or hate to be acted out under the guise of virtue","Erich Fromm, Man for Himself: An Inquiry into the Psychology of Ethics",Vice
"He who profits by villainy, has perpetrated it","lain Pears, An Instance of the Fingerpost",Vice
"Here's a rule I recommend: Never practice two vices at once","Tallulah Bankhead",Vice
"Death always knew how to connect vice with misfortune","Jindrich Styrsky, Emilie prichazi ke mne ve snu",Vice
"Men's evil manners live in brass; their virtue we write in water","William Shakespeare, Henry VIII",Vice
"He has all the virtues I dislike and none of the vices I admire.","Winston S. Churchill, Wealth, War, and Wisdom",Vice
"No one gossips about other people’s secret virtues.","Bertrand Russell, On Education",Vice
"I haven't a particle of confidence in a man who has no redeeming petty vices whatsoever.","Mark Twain, Stories", Vice
"Twas doing nothing was his curse. Is there a vice can plague us worse?","Hannah More",Vice
"There is not a crime, there is not a dodge, there is not a trick, there is not a swindle, there is not a vice which does not live by secrecy.","Joseph Pulitzer",Vice
"When one's unconscious is full of vice, nothing realizes inner potential like hypocrisy.","Bauvard, The Prince Of Plungers",Vice
"Only the virtuous can count on life, the pursuer of evil can only ever count on death.","Travis Berketa, Dark Heart: Angels in the City",Vice
"Men are more easily governed through their vices than through their virtues.","Napoleon Bonaparte",Vice
"Never try to lock the virtue’s door with the key of vice. It may lock forever; never to be opened again","Munia Khan",Vice
"To be proud of virtue, is to poison yourself with the Antidote.","Benjamin Franklin",Vice
"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.","Benjamin Franklin",Vice
"It has been my experience that folks who have no vices have very few virtues.","Abraham Lincoln",Vice
"No one gossips about other people’s secret virtues.","Bertrand Russell, On Education",Vice
"The inherent vice of capitalism is the unequal sharing of blessings; the inherent vice of socialism is the equal sharing of miseries.","Winston Churchill",Vice
"In order to know virtue, we must first acquaint ourselves with vice.","Marquis de Sade",Vice
"When a man cannot choose, he ceases to be a man.","Anthony Burgess, A Clockwork Orange",Choice
"My mother's menu consisted of two choices: Take it or leave it.","Buddy Hackett",Choice
"Love is a choice you make from moment to moment.","Barbara De Angelis",Choice
"There are no safe choices. Only other choices.","Libba Bray, A Great and Terrible Beauty",Choice
"Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.","Roy T. Bennett",Choice
"Although goals are important, having a plan of action is vital to the success of those goals. Having a goal with no plan of action is like wanting to travel to a new destination without having a map.","Steve Maraboli, Life, the Truth, and Being Free",Choice
"To say you have no choice is to relieve yourself of responsibility.","Patrick Ness, Monsters of Men",Choice
"This I choose to do. If there is a price, this I choose to pay. If it is my death, then I choose to die. Where this takes me, there I choose to go. I choose. This I choose to do.","Terry Pratchett, Wintersmith",Choice
"The history of free men is never written by chance but by choice - their choice.","Dwight D. Eisenhower",Choice
"He often felt that too many people lived their lives acting and pretending, wearing masks and losing themselves in the process.","Nicholas Sparks, The Choice",Choice
"We are what we pretend to be, so we must be careful about what we pretend to be.","Kurt Vonnegut, Mother Night",Choice
"Two roads diverged in a wood, and I - I took the one less traveled by, And that has made all the difference.","Robert Frost",Choice
"Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.","Roy T. Bennett, The Light in the Heart",Choice
"I have seen the best of you, and the worst of you, and I choose both.","Sarah Kay",Choice
"You can have peace. Or you can have freedom. Don't ever count on having both at once.","Robert A. Heinlein",Choice
"I object to violence because when it appears to do good, the good is only temporary; the evil it does is permanent.","Mahatma Gandhi",Violence
"Any intelligent fool can make things bigger, more complex, and more violent. It takes a touch of genius — and a lot of courage to move in the opposite direction.","E.F. Schumacher",Violence
"If I have to beat you up to keep you safe, that’s just what I’ll do. It’s this kind of regard for others that makes me believe I’d be a good politician.","Jarod Kintz, The Days of Yay are Here! Wake Me Up When They're Over.",Violence
"Violence is the last refuge of the incompetent.","Isaac Asimov, Foundation",Violence
"We fear violence less than our own feelings. Personal, private, solitary pain is more terrifying than what anyone else can inflict.","
Jim Morrison",Violence
"All violence is the result of people tricking themselves into believing that their pain derives from other people and that consequently those people deserve to be punished.","Marshall B. Rosenberg",Violence
"The most dangerous men on earth are those who are afraid they are wimps.","James Gilligan",Violence
"Sometimes you have to pick the gun up to put the Gun down.","Malcom X",Violence
"Violence is a disease, a disease that corrupts all who use it regardless of the cause.","Chris Hedges",Violence
"To break the silence the old man said the first thing that came to his mind: ""Loneliness is a type of violence.""","Jonathan Messinger, Hiding Out",Violence
"When someone says something offensive and I want to voice my opinion, I hire a spokesman to beat that person up.","Benson Bruno",Violence
"Violence is not only impractical but immoral.","Martin Luther King Jr.",Violence
"If everyone who had a gun just shot themselves, there wouldn't be a problem.","George Harrison",Violence
"I object to violence because when it appears to do good, the good is only temporary; the evil it does is permanent.","Mahatma Gandhi",Violence
"Those who make peaceful revolution impossible will make violent revolution inevitable.","John F. Kennedy",Violence
"Violence is the last refuge of the incompetent.","Isaac Asimov, Foundation",Violence
"Peace cannot be achieved through violence, it can only be attained through understanding.","Ralph Waldo Emerson",Violence
"Those who make peaceful revolution impossible will make violent revolution inevitable.","John F. Kennedy",Violence
"We sleep safely at night because rough men stand ready to visit violence on those who would harm us.","Sinston S. Churchill",Violence
"The choice is not between violence and nonviolence but between nonviolence and nonexistence.","Martin Luther King Jr.",Violence
"Honesty, like any inclination, can become a ruling passion, a monomania almost.","Sena Jeter Naslund, Ahab's Wife, or The Star-Gazer",Virtue
"Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.","Maya Angelou",Virtue
"The good die young - because they see it's no use living if you've got to be good.","John Barrymore",Virtue
"The problem with people who have no vices is that generally you can be pretty sure they're going to have some pretty annoying virtues.","Elizabeth Taylor",Virtue
"Every one suspects himself of at least one of the cardinal virtues, and this is mine: I am one of the few honest people that I have ever known.","F. Scott Fitzgerald, The Great Gatsby",Virtue
"Some people with great virtues are disagreeable, while others with great vices are delightful.","François de La Rochefoucauld",Virtue
"The good die young - because they see it's no use living if you've got to be good.","John Barrymore",Virtue
"Only the virtuous can count on life, the pursuer of evil can only ever count on death.","Travis Berketa, Dark Heart: Angels in the City",Virtue
"Make foes of bowmen if you must, Never of penmen.","Thiruvalluvar, Kural",Virtue
"Humanity is not perfect in any fashion; no more in the case of evil than in that of good. The criminal has his virtues, just as the honest man has his weaknesses","Pierre Choderlos de Laclos, Les Liaisons dangereuses",Virtue
"When I'm good, I'm very good, but when I'm bad, I'm better.","Mae West",Virtue
"Don’t give people what they want, give them what they need.","Joss Whedon",Virtue
"The virtuous man contents himself with dreaming that which the wicked man does in actual life.","Sigmund Freud, The Interpretation of Dreams",Virtue
"It isn't enough to stand up and fight darkness. You've got to stand apart from it, too. You've got to be different from it.","Jim Butcher, Fool Moon",Virtue
"Few men have virtue to withstand the highest bidder.","George Washington",Virtue
"The first duty of a man is to think for himself.","Jose Marti",Politics
"I would rather be exposed to the inconveniences attending too much liberty than to those attending too small a degree of it.","Thomas Jefferson",Politics
"Every society has the criminals it deserves.","Emma Goldman, Red Emma Speaks.",Politics
"There is a cult of ignorance in the United States, and there has always been. The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that 'my ignorance is just as good as your knowledge.'","Issac Asimov",Politics
"In my many years I have come to a conclusion that one useless man is a shame, two is a law firm, and three or more is a congress.","Peter Stone",Politics
"Patriotism is, fundamentally, a conviction that a particular country is the best in the world because you were born in it...","George Bernard Shaw",Politics
"You show me a capitalist, and I'll show you a bloodsucker.","Malcolm X",Politics
"A nation of sheep will beget a government of wolves.","Edward R. Murrow",Politics
"Absolute power does not corrupt absolutely, absolute power attracts the corruptible.","Frank Herbert",Politics
"Just because you do not take an interest in politics doesn't mean politics won't take an interest in you. ","Pericles",Politics
"You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.","Malcolm X, By Any Means Necessary",Politics
"Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies","Groucho Marx",Politics
"What difference does it make to the dead, the orphans and the homeless, whether the mad destruction is wrought under the name of totalitarianism or in the holy name of liberty or democracy?","Mahatma Gandhi",Politics
"The smallest minority on earth is the individual. Those who deny individual rights cannot claim to be defenders of minorities.","Ayn Rand",Politics
"One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.","Plato",Politics
"Our great democracies still tend to think that a stupid man is more likely to be honest than a clever man, and our politicians take advantage of this prejudice by pretending to be even more stupid than nature made them.","Bertrand Russell",Politics
"Loyalty to country ALWAYS. Loyalty to government, when it deserves it.","Mark Twain",Politics
"Society is like a stew. If you don't stir it up every once in a while then a layer of scum floats to the top.","Edward Abbey",Politics
"My concern is not whether God is on our side, my greatest concern is to be on God's side, for God is always right.","Abraham Lincoln",Politics
"He knows nothing; and he thinks he knows everything. That points clearly to a political career.","George Bernard Shaw",Politics
"If we surrendered to earth's intelligence we could rise up rooted, like trees.","Rainer Maria Rilke, Rainer Maria Rilke's the Book of Hours: A New Translation with Commentary",Nature
"To sit in the shade on a fine day, and look upon verdure is the most perfect refreshment.","Jane Austen",Nature
"Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach some of us more than we can ever learn from books.","John Lubbock",Nature
"The mountains are calling and I must go.","John Muir",Nature
"Live in each season as it passes; breathe the air, drink the drink, taste the fruit, and resign yourself to the influence of the earth.","Henry David Thoreau, Walden",Nature
"The clearest way into the Universe is through a forest wilderness.","John Muir",Nature
"Not just beautiful, though--the stars are like the trees in the forest, alive and breathing. And they're watching me.","Haruki Murakami, Kafka on the Shore",Nature
"In the spring, at the end of the day, you should smell like dirt.","Margaret Atwood, Bluebeard's Egg",Nature
""Adopt the pace of nature: her secret is patience."","Ralph Waldo Emerson",Nature
"Live in each season as it passes; breathe the air, drink the drink, taste the fruit, and resign yourself to the influence of the earth.","Henry David Thoreau, Walden",Nature
"We cannot be sure of having something to live for unless we are willing to die for it.","Ernesto Guevara",Passion
"There is scarcely any passion without struggle.","Albert Camus, The Myth of Sisyphus and Other Essays",Passion
"The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.","G.K. Chesterton",Passion
"My fault, my failure, is not in the passions I have, but in my lack of control of them.","Jack Kerouac",Passion
"A great fire burns within me, but no one stops to warm themselves at it, and passers-by only see a wisp of smoke.","Vincent Van Gogh",Passion
"The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.","G.K. Chesterton",Passion
"My fault, my failure, is not in the passions I have, but in my lack of control of them.","Jack Kerouac",Passion
"Be the flame, not the moth.","Giacomo Casanova",Passion
"What Reason weaves, by Passion is undone.","Alexander Pope",Passion
"A great fire burns within me, but no one stops to warm themselves at it, and passers-by only see a wisp of smoke.","Vincent Van Gogh",Passion
"Graffiti is one of the few tools you have if you have almost nothing. And even if you don't come up with a picture to cure world poverty you can make someone smile while they're having a piss.","Banksy, Banging Your Head Against a Brick Wall",Art
"Deliver me from writers who say the way they live doesn't matter. I'm not sure a bad person can write a good book. If art doesn't make us better, then what on earth is it for.","Alice Walker",Art
"The art of art, the glory of expression and the sunshine of the light of letters, is simplicity.","Walt Whitman",Art
"A line is a dot that went for a walk.","Paul Klee",Art
"If it weren't for greed, intolerance, hate, passion and murder, you would have no works of art, no great buildings, no medical science, no Mozart, no Van Gough, no Muppets and no Louis Armstrong.","Jasper Fforde, The Big Over Easy",Art
"Modern paintings are like women, you'll never enjoy them if you try to understand them.","Freddie Mercury",Art
"Art is the only serious thing in the world. And the artist is the only person who is never serious.","Oscar Wilde",Art
"Art washes away from the soul the dust of everyday life.","Pablo Picasso",Art
"The human body is the best work of art.","Jess C. Scott",Art
"We have art in order not to die of the truth.","Friedrich Nietzsche",Art
"All art is quite useless.","Oscar Wilde, The Picture of Dorian Gray",Art
"There is no abstract art. You must always start with something. Afterward you can remove all traces of reality.","Pablo Picasso",Art
"The absence of limitations is the enemy of art.","Orson Welles",Art
"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.","Leonardo da Vinci",Art
"Art is not what you see, but what you make others see.","Edgar Degas",Art
"Art is the only serious thing in the world. And the artist is the only person who is never serious.","Oscar Wilde",Art
"Eleanor was right. She never looked nice. She looked like art, and art wasn't supposed to look nice; it was supposed to make you feel something.","Rainbow Rowell, Eleanor & Park",Art
"Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.","Leonardo da Vinci",Art
"Art is the lie that enables us to realize the truth.","Pablo Picasso",Art
"I dream my painting and I paint my dream.","Vincent Willem van Gogh",Art
"Those who surrender freedom for security will not have, nor do they deserve, either one.","Benjamin Franklin",Freedom
"Freedom is not worth having if it does not include the freedom to make mistakes.","Mahatma Gandhi",Freedom
"If freedom of speech is taken away, then dumb and silent we may be led, like sheep to the slaughter.","George Washington",Freedom
"A people that values its privileges above its principles soon loses both.","Dwight D. Eisenhower",Freedom
"Lock up your libraries if you like; but there is no gate, no lock, no bolt that you can set upon the freedom of my mind.","Virginia Woolf, A Room of One's Own",Freedom
"The advancement and diffusion of knowledge is the only guardian of true liberty.","James Madison",Freedom
"Freedom is not something that anybody can be given. Freedom is something people take, and people are as free as they want to be.","James Baldwin",Freedom
"If we don't believe in freedom of expression for people we despise, we don't believe in it at all.","Noam Chomsky",Freedom
"A man can be himself only so long as he is alone; and if hes does not love solitude, he will not love freedom; for it is only when he is alone that he is really free.","Arthur Schopenhauer, Essays and Aphorisms",Freedom
"Man is condemned to be free; because once thrown into the world, he is responsible for everything he does. It is up to you to give [life] a meaning.","Jean-Paul Sartre",Freedom
"The most loving parents and relatives commit murder with smiles on their faces. They force us to destroy the person we really are: a subtle kind of murder.","Jim Morrison",Freedom
"Most people do not really want freedom, because freedom involves responsibility, and most people are frightened of responsibility.","Sigmund Freud, Civilization and Its Discontents",Freedom
"They who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.","Benjamin Franklin, Memoirs of the life &amp; writings of Benjamin Franklin",Freedom
"The most courageous act is still to think for yourself. Aloud.","Coco Chanel",Freedom
"When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.","Nelson Mandela",Freedom
"You can have peace. Or you can have freedom. Don't ever count on having both at once.","Robert A. Heinlein",Freedom
"When I discover who I am, I’ll be free.","Ralph Ellison, Invisible Man",Freedom
"People demand freedom of speech as a compensation for the freedom of thought which they seldom use.","Søren Kierkegaard",Freedom
"Better to die fighting for freedom then be a prisoner all the days of your life.","Bob Marley",Freedom
"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.","Nelson Mandela",Freedom
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.","Maurice Switzer, Mrs. Goose, Her Book",Wisdom
"The fool doth think he is wise, but the wise man knows himself to be a fool.","William Shakespeare, As You Like It",Wisdom
"It is unwise to be too sure of one's own wisdom. It is healthy to be reminded that the strongest might weaken and the wisest might err.","Mahatma Gandhi",Wisdom
"If we encounter a man of rare intellect, we should ask him what books he reads.","Ralph Waldo Emerson",Wisdom
"Knowing yourself is the beginning of all wisdom.","Aristotle",Wisdom
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).","Mark Twain",Wisdom
"The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.","Isaac Asimov",Wisdom
"It is the mark of an educated mind to be able to entertain a thought without accepting it.","Aristotle, Metaphysics",Wisdom
"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.","Rumi",Wisdom
"The man of knowledge must be able not only to love his enemies but also to hate his friends.","Friedrich Nietzsche",Wisdom
"No one can make you feel inferior without your consent.","Eleanor Roosevelt, This is My Story",Wisdom
"The fool doth think he is wise, but the wise man knows himself to be a fool","William Shakespeare, As You Like It",Wisdom
"Knowing yourself is the beginning of all wisdom.","Aristotle",Wisdom
